8¨8-=-Film,Year,Header
Sunset Boulevard,(1950),"<h2><a href=""https://www.rottentomatoes.com/m/sunset_boulevard"">Sunset Boulevard</a> <span class=""subtle start-year"">(1950)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/dr_strangelove"">Dr. Strangelove Or: How I Learned to Stop Worrying and Love the Bomb</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Pather Panchali,(1955),"<h2><a href=""https://www.rottentomatoes.com/m/pather_panchali"">Pather Panchali</a> <span class=""subtle start-year"">(1955)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Rashomon,(1950),"<h2><a href=""https://www.rottentomatoes.com/m/rashomon"">Rashomon</a> <span class=""subtle start-year"">(1950)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Sweet Smell of Success,(1957),"<h2><a href=""https://www.rottentomatoes.com/m/sweet_smell_of_success"">Sweet Smell of Success</a> <span class=""subtle start-year"">(1957)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Invasion of the Body Snatchers,(1956),"<h2><a href=""https://www.rottentomatoes.com/m/1010678-invasion_of_the_body_snatchers"">Invasion of the Body Snatchers</a> <span class=""subtle start-year"">(1956)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
8 1/2,(1963),"<h2><a href=""https://www.rottentomatoes.com/m/8-12"">8 1/2</a> <span class=""subtle start-year"">(1963)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
Strangers on a Train,(1951),"<h2><a href=""https://www.rottentomatoes.com/m/strangers_on_a_train"">Strangers on a Train</a> <span class=""subtle start-year"">(1951)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
One Hundred and One Dalmatians,(1961),"<h2><a href=""https://www.rottentomatoes.com/m/101_dalmatians"">One Hundred and One Dalmatians</a> <span class=""subtle start-year"">(1961)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
The Leopard,(1963),"<h2><a href=""https://www.rottentomatoes.com/m/the_leopard_1963"">The Leopard</a> <span class=""subtle start-year"">(1963)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Gentlemen Prefer Blondes,(1953),"<h2><a href=""https://www.rottentomatoes.com/m/gentlemen_prefer_blondes"">Gentlemen Prefer Blondes</a> <span class=""subtle start-year"">(1953)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">88%</span></h2>"
North by Northwest,(1959),"<h2><a href=""https://www.rottentomatoes.com/m/north-by-northwest"">North by Northwest</a> <span class=""subtle start-year"">(1959)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
"The Good, the Bad and the Ugly",(1967),"<h2><a href=""https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly"">The Good, the Bad and the Ugly</a> <span class=""subtle start-year"">(1967)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
The Umbrellas of Cherbourg,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/the_umbrellas_of_cherbourg_1964"">The Umbrellas of Cherbourg</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
A Streetcar Named Desire,(1951),"<h2><a href=""https://www.rottentomatoes.com/m/1020333-streetcar_named_desire"">A Streetcar Named Desire</a> <span class=""subtle start-year"">(1951)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
The Manchurian Candidate,(1962),"<h2><a href=""https://www.rottentomatoes.com/m/1013227-manchurian_candidate"">The Manchurian Candidate</a> <span class=""subtle start-year"">(1962)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
From Russia With Love,(1963),"<h2><a href=""https://www.rottentomatoes.com/m/from_russia_with_love"">From Russia With Love</a> <span class=""subtle start-year"">(1963)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
Psycho,(1960),"<h2><a href=""https://www.rottentomatoes.com/m/psycho"">Psycho</a> <span class=""subtle start-year"">(1960)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
The Bridge on the River Kwai,(1957),"<h2><a href=""https://www.rottentomatoes.com/m/bridge_on_the_river_kwai"">The Bridge on the River Kwai</a> <span class=""subtle start-year"">(1957)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
La Dolce Vita,(1960),"<h2><a href=""https://www.rottentomatoes.com/m/la_dolce_vita"">La Dolce Vita</a> <span class=""subtle start-year"">(1960)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
Breathless,(1959),"<h2><a href=""https://www.rottentomatoes.com/m/breathless"">Breathless</a> <span class=""subtle start-year"">(1959)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Paths of Glory,(1957),"<h2><a href=""https://www.rottentomatoes.com/m/paths_of_glory"">Paths of Glory</a> <span class=""subtle start-year"">(1957)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Mary Poppins,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/mary_poppins"">Mary Poppins</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Eyes Without a Face,(1960),"<h2><a href=""https://www.rottentomatoes.com/m/eyes_without_a_face_1962"">Eyes Without a Face</a> <span class=""subtle start-year"">(1960)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">97%</span></h2>"
A Fistful of Dollars,(1964),"<h2><a href=""https://www.rottentomatoes.com/m/fistful_of_dollars"">A Fistful of Dollars</a> <span class=""subtle start-year"">(1964)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">98%</span></h2>"
Mafioso,(1962),"<h2><a href=""https://www.rottentomatoes.com/m/mafioso_1964"">Mafioso</a> <span class=""subtle start-year"">(1962)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Forbidden Planet,(1956),"<h2><a href=""https://www.rottentomatoes.com/m/forbidden_planet"">Forbidden Planet</a> <span class=""subtle start-year"">(1956)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Throne of Blood,(1957),"<h2><a href=""https://www.rottentomatoes.com/m/throne_of_blood"">Throne of Blood</a> <span class=""subtle start-year"">(1957)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Who's Afraid of Virginia Woolf?,(1966),"<h2><a href=""https://www.rottentomatoes.com/m/whos_afraid_of_virginia_woolf"">Who's Afraid of Virginia Woolf?</a> <span class=""subtle start-year"">(1966)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
An American in Paris,(1951),"<h2><a href=""https://www.rottentomatoes.com/m/american_in_paris"">An American in Paris</a> <span class=""subtle start-year"">(1951)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
In the Heat of the Night,(1967),"<h2><a href=""https://www.rottentomatoes.com/m/in_the_heat_of_the_night"">In the Heat of the Night</a> <span class=""subtle start-year"">(1967)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Touch of Evil,(1958),"<h2><a href=""https://www.rottentomatoes.com/m/touch_of_evil"">Touch of Evil</a> <span class=""subtle start-year"">(1958)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
Diabolique,(1955),"<h2><a href=""https://www.rottentomatoes.com/m/1032980-diabolique"">Diabolique</a> <span class=""subtle start-year"">(1955)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
Repulsion,(1965),"<h2><a href=""https://www.rottentomatoes.com/m/repulsion"">Repulsion</a> <span class=""subtle start-year"">(1965)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">96%</span></h2>"
Roman Holiday,(1953),"<h2><a href=""https://www.rottentomatoes.com/m/roman_holiday"">Roman Holiday</a> <span class=""subtle start-year"">(1953)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
Dr. No,(1962),"<h2><a href=""https://www.rottentomatoes.com/m/dr_no"">Dr. No</a> <span class=""subtle start-year"">(1962)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
The Day the Earth Stood Still,(1951),"<h2><a href=""https://www.rottentomatoes.com/m/1005371-day_the_earth_stood_still"">The Day the Earth Stood Still</a> <span class=""subtle start-year"">(1951)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
The Face of Fear,(1960),"<h2><a href=""https://www.rottentomatoes.com/m/peeping_tom_1960"">The Face of Fear</a> <span class=""subtle start-year"">(1960)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
The Innocents,(1961),"<h2><a href=""https://www.rottentomatoes.com/m/1099622-innocents"">The Innocents</a> <span class=""subtle start-year"">(1961)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
Last Year at Marienbad,(1961),"<h2><a href=""https://www.rottentomatoes.com/m/last_year_at_marienbad"">Last Year at Marienbad</a> <span class=""subtle start-year"">(1961)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">93%</span></h2>"
Romeo and Juliet,(1968),"<h2><a href=""https://www.rottentomatoes.com/m/romeo_and_juliet_1968"">Romeo and Juliet</a> <span class=""subtle start-year"">(1968)</span> <span class=""icon tiny certified"" title=""Certified Fresh""></span> <span class=""tMeterScore"">95%</span></h2>"
